,Num_Acc,place,catu,grav,sexe,secu,locp,actp,etatp,an_nais,num_veh,senc,catv,occutc,obs,obsm,choc,manv,mois,jour,hrmn,lum,agg,int,atm,col,mom,catvopp,catv_gen,catvopp_gen
24084,201600010839,2.0,2,3,1,21.0,0.0,0.0,0.0,1994.0,B01,1.0,33,0,0.0,2.0,1.0,1.0,3,1,1728,1,2,3,1,3,3,7,1,2
24085,201600010840,1.0,1,1,2,11.0,0.0,0.0,0.0,1977.0,A01,2.0,7,0,0.0,2.0,2.0,20.0,3,24,1120,1,2,1,1,3,1,32,2,1
24086,201600010840,1.0,1,4,1,21.0,0.0,0.0,0.0,1936.0,B01,1.0,32,0,0.0,2.0,7.0,1.0,3,24,1120,1,2,1,1,3,1,7,1,2
24087,201600010841,1.0,1,2,1,21.0,0.0,0.0,0.0,1949.0,A01,1.0,32,0,7.0,0.0,1.0,17.0,3,29,1620,1,2,1,1,6,3,32,1,1
24088,201600010842,1.0,1,4,1,21.0,0.0,0.0,0.0,1984.0,B01,2.0,34,0,0.0,2.0,1.0,1.0,3,29,830,1,2,3,1,3,1,7,1,2
24089,201600010842,2.0,2,4,1,21.0,0.0,0.0,0.0,1982.0,B01,2.0,34,0,0.0,2.0,1.0,1.0,3,29,830,1,2,3,1,3,1,7,1,2
24090,201600010842,1.0,1,4,2,11.0,0.0,0.0,0.0,1986.0,A01,2.0,7,0,0.0,2.0,3.0,15.0,3,29,830,1,2,3,1,3,1,34,2,1
24091,201600010843,1.0,1,4,1,21.0,0.0,0.0,0.0,1948.0,B01,1.0,34,0,0.0,2.0,7.0,1.0,3,30,1150,1,2,1,1,3,1,7,1,2
24092,201600010843,2.0,2,4,1,21.0,0.0,0.0,0.0,2005.0,B01,1.0,34,0,0.0,2.0,7.0,1.0,3,30,1150,1,2,1,1,3,1,7,1,2
24093,201600010843,1.0,1,1,2,11.0,0.0,0.0,0.0,1974.0,A01,1.0,7,0,0.0,2.0,1.0,10.0,3,30,1150,1,2,1,1,3,1,34,2,1
24094,201600010844,1.0,1,1,1,11.0,0.0,0.0,0.0,1962.0,A01,1.0,7,0,0.0,2.0,5.0,15.0,2,1,1135,1,2,3,1,2,1,1,2,1
24095,201600010844,1.0,1,3,1,21.0,0.0,0.0,0.0,1981.0,B01,2.0,1,0,0.0,2.0,5.0,1.0,2,1,1135,1,2,3,1,2,1,7,1,2
24096,201600010845,1.0,1,4,1,21.0,0.0,0.0,0.0,1976.0,A01,1.0,32,0,0.0,2.0,2.0,17.0,4,10,120,5,2,1,1,3,0,10,1,2
24097,201600010845,1.0,1,1,1,11.0,0.0,0.0,0.0,1993.0,B01,1.0,10,0,0.0,2.0,3.0,20.0,4,10,120,5,2,1,1,3,0,32,2,1
24098,201600010845,2.0,2,1,2,11.0,0.0,0.0,0.0,1981.0,B01,1.0,10,0,0.0,2.0,3.0,20.0,4,10,120,5,2,1,1,3,0,32,2,1
24099,201600010846,1.0,1,1,1,11.0,0.0,0.0,0.0,1965.0,A01,1.0,7,0,0.0,1.0,3.0,15.0,4,18,1025,1,2,3,1,6,1,7,2,2
24100,201600010846,0.0,3,4,2,0.0,3.0,1.0,1.0,1938.0,A01,1.0,7,0,0.0,1.0,3.0,15.0,4,18,1025,1,2,3,1,6,1,7,2,2
24101,201600010847,1.0,1,3,1,21.0,0.0,0.0,0.0,1992.0,A01,2.0,30,0,9.0,0.0,1.0,13.0,4,24,433,5,2,1,1,7,0,30,1,1
24102,201600010848,1.0,1,3,1,21.0,0.0,0.0,0.0,1983.0,A01,1.0,2,0,5.0,0.0,1.0,1.0,4,26,2300,5,2,1,1,7,5,2,1,1
24105,201600010850,1.0,1,4,2,21.0,0.0,0.0,0.0,1989.0,B01,2.0,32,0,0.0,2.0,1.0,16.0,3,26,915,1,2,3,1,1,1,3,1,0
24106,201600010850,1.0,1,1,1,11.0,0.0,0.0,0.0,1991.0,A01,1.0,3,0,0.0,2.0,1.0,15.0,3,26,915,1,2,3,1,1,1,32,0,1
24107,201600010851,1.0,1,1,1,13.0,0.0,0.0,0.0,1980.0,A01,1.0,7,0,15.0,1.0,1.0,6.0,3,27,1018,1,2,1,1,6,1,7,2,2
24108,201600010851,0.0,3,4,2,0.0,5.0,9.0,1.0,1964.0,A01,1.0,7,0,15.0,1.0,1.0,6.0,3,27,1018,1,2,1,1,6,1,7,2,2
24111,201600010853,1.0,1,1,1,11.0,0.0,0.0,0.0,1965.0,B01,1.0,10,0,0.0,2.0,3.0,9.0,5,6,825,1,2,1,1,7,1,34,2,1
24112,201600010853,1.0,1,3,1,21.0,0.0,0.0,0.0,1964.0,A01,2.0,34,0,0.0,2.0,3.0,17.0,5,6,825,1,2,1,1,7,1,10,1,2
24114,201600010855,1.0,1,3,1,21.0,0.0,0.0,0.0,1984.0,A01,1.0,2,0,0.0,1.0,4.0,1.0,6,8,1435,1,2,1,1,6,3,2,1,1
24115,201600010855,0.0,3,1,1,0.0,2.0,1.0,1.0,1924.0,A01,1.0,2,0,0.0,1.0,4.0,1.0,6,8,1435,1,2,1,1,6,3,2,1,1
24116,201600010856,1.0,1,1,2,11.0,0.0,0.0,0.0,1946.0,A01,1.0,7,0,0.0,2.0,2.0,15.0,3,21,1200,1,2,3,1,3,2,2,2,1
24117,201600010856,1.0,1,3,1,21.0,0.0,0.0,0.0,1999.0,B01,2.0,2,0,0.0,2.0,2.0,17.0,3,21,1200,1,2,3,1,3,2,7,1,2
24118,201600010857,1.0,1,1,2,11.0,0.0,0.0,0.0,1968.0,B01,1.0,7,0,1.0,2.0,5.0,2.0,6,15,900,1,2,1,1,4,1,2,2,1
24119,201600010857,1.0,1,1,2,92.0,0.0,0.0,0.0,1942.0,C01,1.0,7,0,1.0,0.0,8.0,24.0,6,15,900,1,2,1,1,4,1,2,2,1
24120,201600010857,1.0,1,3,2,21.0,0.0,0.0,0.0,1968.0,A01,2.0,2,0,0.0,2.0,1.0,14.0,6,15,900,1,2,1,1,4,1,7,1,2
24121,201600010858,1.0,1,4,1,21.0,0.0,0.0,0.0,1992.0,A01,1.0,32,0,0.0,1.0,1.0,1.0,6,22,2140,5,2,1,1,6,4,32,1,1
24122,201600010858,0.0,3,3,2,0.0,3.0,3.0,2.0,2009.0,A01,1.0,32,0,0.0,1.0,1.0,1.0,6,22,2140,5,2,1,1,6,4,32,1,1
